runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0610T112349Z_RWkz6Z,epsilon,0,0.0001,50,64,256,4096,1,1,512,1.437423127727069,0.7784176794394424
0609T235825Z_0PtnnZ,epsilon,3,0.0001,0.02,2048,2,4096,1,1,512,0.8714910645231126,0.8714910645231126
0517T024850Z_qzrWRS,epsilon,0,0.0001,0.1,1,8,4096,1,1,16,0.7850579464036014,0.7850579464036014
0610T011834Z_8ke4Jk,epsilon,4,0.0001,0.002,4,8,4096,1,1,512,0.8173035289238383,0.8173035289238383
0610T013422Z_U60F74,epsilon,4,0.0001,0.002,128,32,4096,1,1,512,0.8801603167834596,0.8801603167834596
0610T014949Z_ZGPCNX,epsilon,4,0.0001,0.5,1024,128,4096,1,1,512,0.81602766355301,0.81602766355301
0610T054323Z_q5wcGi,epsilon,3,0.0001,0.001,16,256,4096,1,1,512,0.8911190291730196,0.8911190291730196
0610T001447Z_GIenjz,epsilon,3,0.0001,0.2,512,32,4096,1,1,512,0.8768506276235947,0.8768506276235947
0610T004118Z_LcihZG,epsilon,3,0.0001,0.02,64,32,4096,1,1,512,0.8884771359186673,0.8884771359186673
0610T013544Z_YvMHzq,epsilon,4,0.0001,10,128,16,4096,1,1,512,0.4727231453580865,0.4727050700938845
0610T005132Z_ojZq6E,epsilon,4,0.0001,5,8192,2,4096,1,1,512,0.4714268222855417,0.4714166942987859
0517T004416Z_63TStF,epsilon,0,0.0001,0.2,128,1,4096,1,1,16,0.7196390428020293,0.7196390428020293
0610T012458Z_UULz0N,epsilon,4,0.0001,0.05,2,8,4096,1,1,512,0.5572352474500589,0.5572352474500589
0610T012559Z_nN8DmU,epsilon,4,0.0001,0.05,64,8,4096,1,1,512,0.5250288261780452,0.5250288261780452
0610T003434Z_AdrumV,epsilon,3,0.0001,0.002,64,32,4096,1,1,512,0.8908385646462421,0.8908385646462421
0610T012810Z_nJoNWr,epsilon,4,0.0001,5,16,32,4096,1,1,512,0.4775782449453061,0.4775782449453061
