runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0603T165551Z_7gBJxT,a9a,3,0.0001,0.001,8192,64,4096,1,1,512,1.0769380322677242,1.0769380322677242
0603T142527Z_VaRqXw,a9a,2,0.0001,0.0005,2,32,4096,1,1,512,0.4811209320219528,0.4811209320219528
0603T165925Z_PRYgOW,a9a,3,0.0001,0.0005,8192,512,4096,1,1,512,1.1005953587576955,1.1005953587576955
0603T141733Z_KMpToP,a9a,-1,0.0001,0.1,128,32,4096,1,1,512,0.588458338635427,0.5219497934879291
0603T142547Z_pobNBD,a9a,2,0.0001,0.002,1024,2,4096,1,1,512,0.4133736273930837,0.4133736273930837
0603T142631Z_YaiFZE,a9a,2,0.0001,0.001,512,16,4096,1,1,512,0.5288502486102303,0.4794774539140686
0603T142853Z_qiXHmT,a9a,3,0.0001,0.0005,128,256,4096,1,1,512,1.098969948263416,1.098969948263416
0603T142254Z_so5Hh9,a9a,1,0.0001,2.0,32,1,4096,1,1,512,1.1758200396712886,0.9956671042979532
0603T141749Z_hb5iRf,a9a,-1,0.0001,0.02,1024,128,4096,1,1,512,0.4687859287748699,0.4600275711618557
0603T153122Z_JO733g,a9a,0,0.0001,0.2,4096,4,4096,1,1,512,0.3292507653798061,0.3292507653798061
0603T142611Z_vctN3P,a9a,2,0.0001,0.02,32,128,4096,1,1,512,0.3829749385199563,0.3829749385199563
0603T142753Z_gZyNNS,a9a,4,0.0001,0.5,128,4,4096,1,1,512,0.33322891420943723,0.3301633105555312
0603T151528Z_0lRxFg,a9a,-1,0.0001,0.2,4096,64,4096,1,1,512,2.3339753334132327,1.1022458525838277
0603T142139Z_8x2I4e,a9a,0,0.0001,1.0,128,32,4096,1,1,512,0.4778167453435371,0.4373342306274945
0603T142822Z_BpJ4AS,a9a,3,0.0001,0.0002,512,64,4096,1,1,512,1.0970037292175174,1.0970037292175174
0603T142447Z_bKDIl3,a9a,1,0.0001,0.01,64,128,4096,1,1,512,0.404987199353505,0.404987199353505
0603T141556Z_AdMKs1,a9a,-1,0.0001,0.01,256,2,4096,1,1,512,0.32791758076921323,0.3264601506360307
0603T142106Z_FNCJ2X,a9a,0,0.0001,2.0,64,8,4096,1,1,512,0.5523156343386203,0.5523156343386203
0603T142340Z_wLEgHs,a9a,1,0.0001,0.05,512,64,4096,1,1,512,0.3303190441324788,0.3301403728804729
0603T142747Z_KU86W9,a9a,3,0.0001,0.002,512,128,4096,1,1,512,1.0769555184891997,1.0769555184891997
0603T142727Z_v1ssp1,a9a,4,0.0001,0.002,512,1,4096,1,1,512,0.3342495986186746,0.3342495986186746
0603T142833Z_1f6box,a9a,3,0.0001,0.2,2,2,4096,1,1,512,0.3434618078799924,0.3434618078799924
0603T141658Z_qCsnkR,a9a,-1,0.0001,0.05,2,128,4096,1,1,512,6.9805963323396565,1.1022458525837715
0603T141712Z_FNMQF5,a9a,-1,0.0001,0.01,128,16,4096,1,1,512,0.3330078291168615,0.3312959328373131
0603T142458Z_ZA4hBD,a9a,1,0.0001,0.01,16,256,4096,1,1,512,0.43061502488855663,0.4054665159906613
0603T141704Z_rsaGfG,a9a,-1,0.0001,0.5,32,256,4096,1,1,512,15.819267737756855,1.102245852583771
0603T141524Z_htzWsw,a9a,-1,0.0001,0.005,32,2,4096,1,1,512,0.3402770058946703,0.33846413682599674
0603T142619Z_YhCx3V,a9a,2,0.0001,0.005,1024,8,4096,1,1,512,0.4270139362010745,0.4270139362010745
0603T150644Z_e5O4tY,a9a,-1,0.0001,0.01,4096,32,4096,1,1,512,0.32566598709423633,0.32566598709423633
0603T165344Z_iLVzQP,a9a,4,0.0001,2.0,2048,128,4096,1,1,512,0.38928547015586507,0.38928547015586507
0603T142042Z_SA8kAi,a9a,0,0.0001,0.1,1024,4,4096,1,1,512,0.3328709466902512,0.3328709466902512
0603T142135Z_3ZaZFd,a9a,1,0.0001,0.0005,1,2,4096,1,1,512,0.8381983841659325,0.5817006789405916
0603T142836Z_dxD4hT,a9a,4,0.0001,0.1,4,2,4096,1,1,512,1.4299829847038916,1.0543874531221484
0603T142848Z_ggJ621,a9a,4,0.0001,0.0005,128,1,4096,1,1,512,0.3964038145196884,0.3964038145196884
0603T142036Z_NuYAY1,a9a,0,0.0001,0.005,2,2,4096,1,1,512,0.5262284019141039,0.5262284019141039
0603T141519Z_TRveM0,a9a,-1,0.0001,0.02,512,1,4096,1,1,512,0.32587587399739915,0.3258531418347586
0603T141704Z_Izn1j8,a9a,-1,0.0001,0.05,128,32,4096,1,1,512,0.4003774952601477,0.3783704224042781
0603T142840Z_J2jJR4,a9a,4,0.0001,1.0,512,8,4096,1,1,512,0.3252189881443489,0.3252189881443489
0603T142121Z_OPVEqO,a9a,0,0.0001,5.0,256,4,4096,1,1,512,0.973599862369185,0.8217156432519156
0603T142557Z_YCtHLG,a9a,2,0.0001,0.02,1,4,4096,1,1,512,1.603916917286553,0.759699746794172
0603T141804Z_M3a8Tx,a9a,-1,0.0001,0.001,512,256,4096,1,1,512,0.3639948900620152,0.3639948900620152
0603T142204Z_ZW3Sxe,a9a,0,0.0001,0.5,1024,128,4096,1,1,512,0.3696406783340794,0.3696406783340794
0603T155015Z_BN9Y3g,a9a,1,0.0001,2.0,4096,256,4096,1,1,512,1.2111960945249929,1.1022458525838277
0603T142037Z_tlpLVD,a9a,0,0.0001,0.0005,8,2,4096,1,1,512,0.8026074349763136,0.8026074349763136
0603T141725Z_cGNN2w,a9a,-1,0.0001,0.5,2,64,4096,1,1,512,19.28744965002955,1.1022458525837715
0603T142447Z_Cj2Yay,a9a,1,0.0001,0.0001,512,64,4096,1,1,512,0.6835909053453617,0.6835909053453617
0603T165504Z_CoPoz5,a9a,3,0.0001,0.001,8192,128,4096,1,1,512,1.089301547471121,1.089301547471121
0603T142721Z_y7xfp6,a9a,3,0.0001,0.0001,2,1,4096,1,1,512,0.9753467776694911,0.9753467776694911
0603T165543Z_ksdH6A,a9a,3,0.0001,0.002,2048,16,4096,1,1,512,0.9511971490829748,0.9511971490829748
0603T142801Z_yiYnnC,a9a,3,0.0001,0.005,256,32,4096,1,1,512,0.9273877282776856,0.9273877282776856
0603T150232Z_2kaNZd,a9a,-1,0.0001,0.005,4096,4,4096,1,1,512,0.3257990004414655,0.3257990004414655
0603T170136Z_0PBUkw,a9a,3,0.0001,0.002,2048,8,4096,1,1,512,0.874100925177746,0.874100925177746
0603T141604Z_ge2J9E,a9a,-1,0.0001,0.05,256,4,4096,1,1,512,0.3332991811712778,0.3297140539691773
0603T142635Z_L7BvBB,a9a,2,0.0001,0.0002,64,8,4096,1,1,512,0.5217617697416743,0.4698811733579504
0603T142855Z_9gtZID,a9a,3,0.0001,5.0,32,64,4096,1,1,512,0.4949346065426472,0.4949346065426472
0603T151939Z_uxK9Er,a9a,0,0.0001,0.0005,8192,2,4096,1,1,512,0.8027694261997135,0.8027694261997135
0603T142425Z_cXSjuc,a9a,1,0.0001,0.2,8,128,4096,1,1,512,0.3453028786103762,0.3453028786103762
0603T152410Z_2BaUxV,a9a,0,0.0001,0.05,8192,2,4096,1,1,512,0.34270916965685194,0.34270916965685194
0603T142507Z_GV1jJJ,a9a,2,0.0001,0.5,32,1,4096,1,1,512,0.4416722045052017,0.39238352851599606
0603T142852Z_k70mgi,a9a,4,0.0001,0.02,512,128,4096,1,1,512,0.7603786108356385,0.7603786108356385
0603T141522Z_AW9VP5,a9a,-1,0.0001,0.2,4,2,4096,1,1,512,5.8236730499262634,1.1022458525837715
0603T141759Z_sCVZds,a9a,-1,0.0001,0.05,64,512,4096,1,1,512,4.544410955292536,1.102245852583771
0603T165611Z_sE27ZI,a9a,3,0.0001,1.0,2048,128,4096,1,1,512,0.4677914307249168,0.4677914307249168
0603T154433Z_4aA1eI,a9a,0,0.0001,0.05,2048,1,4096,1,1,512,0.3427114770669981,0.3427114770669981
0603T161730Z_cUTExW,a9a,1,0.0001,0.005,2048,16,4096,1,1,512,0.3875435574702861,0.3875435574702861
0603T142852Z_5W3y0I,a9a,4,0.0001,0.005,32,32,4096,1,1,512,0.5782629391540567,0.5415588382998101
0603T142458Z_ENBgXA,a9a,2,0.0001,2.0,4,4,4096,1,1,512,2.841408007044805,1.1022458525837715
0603T161610Z_m6j0eY,a9a,2,0.0001,0.0005,2048,8,4096,1,1,512,0.5794036515886302,0.5024882608457577
0603T142758Z_oP9OYe,a9a,3,0.0001,1.0,1024,128,4096,1,1,512,0.4677384057387145,0.4677384057387145
0603T142733Z_nxZ4VM,a9a,3,0.0001,0.01,4,64,4096,1,1,512,0.9297586812219004,0.9297586812219004
0603T142034Z_Su8ieV,a9a,0,0.0001,0.002,512,1,4096,1,1,512,0.6641895567700407,0.6641895567700407
0603T142127Z_PXd1l4,a9a,0,0.0001,0.0005,128,256,4096,1,1,512,0.803044025103239,0.803044025103239
0603T142747Z_kFmsS0,a9a,3,0.0001,0.2,4,16,4096,1,1,512,0.4102405001100488,0.4102405001100488
0603T142133Z_7JDGgd,a9a,0,0.0001,0.0001,256,8,4096,1,1,512,0.973911634646834,0.973911634646834
0603T142732Z_kKVInC,a9a,2,0.0001,0.0005,512,128,4096,1,1,512,0.6353246567064502,0.6353246567064502
0603T142705Z_om29tt,a9a,2,0.0001,2.0,16,64,4096,1,1,512,1.3655274632445713,1.008562642250855
0603T142744Z_JbnPlv,a9a,2,0.0001,0.1,2,512,4096,1,1,512,0.3514143807998187,0.3514143807998187
0603T142844Z_Nbhq1f,a9a,3,0.0001,0.2,256,512,4096,1,1,512,0.8222380410976646,0.8222380410976646
0603T142742Z_wzYMyc,a9a,3,0.0001,0.05,8,32,4096,1,1,512,0.6928515374902338,0.6928515374902338
0603T155753Z_RnCFJF,a9a,1,0.0001,0.02,8192,32,4096,1,1,512,0.33651010715533075,0.33651010715533075
0603T142126Z_MvnafR,a9a,0,0.0001,1.0,1024,256,4096,1,1,512,0.574685696714234,0.5731024668067202
0603T142723Z_RV1Kxv,a9a,4,0.0001,0.5,1024,1,4096,1,1,512,0.32688265829837626,0.32688265829837626
0603T142149Z_4e6Ok9,a9a,1,0.0001,0.02,8,1,4096,1,1,512,0.7966514669790381,0.6369168290522893
0603T150232Z_yf5Y5C,a9a,-1,0.0001,0.0002,2048,1,4096,1,1,512,0.4825941355311427,0.4825941355311427
0603T142151Z_NZ2MOy,a9a,0,0.0001,2.0,32,256,4096,1,1,512,1.1136587228401522,1.0496517610639722
0603T141726Z_djYewY,a9a,-1,0.0001,0.05,16,512,4096,1,1,512,4.804885872851084,1.1022458525837715
0603T154459Z_5JJYL0,a9a,0,0.0001,0.001,4096,512,4096,1,1,512,0.7407999241395891,0.7407999241395891
0603T142047Z_fjW9WJ,a9a,0,0.0001,0.1,2,16,4096,1,1,512,0.3426815651654694,0.3426815651654694
