runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0609T194448Z_deYr1S,a9a,1,0.01,0.01,16,128,4096,1,1,512,0.3765252173511642,0.3765252173511642
0609T194151Z_lKV8Ov,a9a,0,0.01,0.02,16,8,4096,1,1,512,0.4365948106583935,0.4365948106583935
0609T201450Z_UagA4O,a9a,4,0.01,0.002,2048,2,4096,1,1,512,0.3727469642957171,0.3727343646304573
0609T201730Z_iOBbQK,a9a,4,0.01,0.2,2048,128,4096,1,1,512,0.4888620655841376,0.4888620655841376
0609T202125Z_hblpYD,a9a,0,0.01,0.2,4096,2,4096,1,1,512,0.3727781154036507,0.3727594351844027
0609T193945Z_GBCLLM,a9a,3,0.01,0.02,1024,2,4096,1,1,512,0.561247443605531,0.561247443605531
0609T194228Z_TIt28k,a9a,1,0.01,1.0,8,1,4096,1,1,512,0.7341624307424521,0.5875465275118594
0609T194009Z_Z1XUIe,a9a,4,0.01,0.5,2,128,4096,1,1,512,0.4055712819235462,0.4055712819235462
0609T194034Z_3vj2nU,a9a,0,0.01,0.01,8,1,4096,1,1,512,0.5598098565614706,0.5598098565614706
0609T193955Z_YQmmek,a9a,3,0.01,5.0,512,16,4096,1,1,512,0.5143806612604627,0.4600069859232262
0609T194434Z_6JBRP8,a9a,0,0.01,0.001,32,128,4096,1,1,512,1.1376362231817914,1.1376362231817914
0609T200204Z_3r3sKf,a9a,1,0.01,10.0,32,512,4096,1,1,512,3.664162972279368,1.5736567493450893
0609T200157Z_dXvpix,a9a,4,0.01,0.01,128,512,4096,1,1,512,1.447580373234182,1.447580373234182
0609T193942Z_5YMeyF,a9a,3,0.01,0.02,16,4,4096,1,1,512,0.7497501801918556,0.7497501801918556
0609T194644Z_nvsPgZ,a9a,1,0.01,0.2,32,8,4096,1,1,512,0.3780178511522561,0.3775637139186849
0609T201327Z_jC4nWW,a9a,3,0.01,0.001,8192,16,4096,1,1,512,1.479036120350276,1.479036120350276
0609T201012Z_KfOkWf,a9a,3,0.01,0.05,2048,1,4096,1,1,512,0.376838511615118,0.376838511615118
0609T194148Z_mQEc50,a9a,0,0.01,0.002,8,256,4096,1,1,512,0.9996687018419806,0.9996687018419806
0609T194033Z_nRmVqK,a9a,3,0.01,0.005,1024,128,4096,1,1,512,1.510727517396329,1.510727517396329
0609T194109Z_oYoJRo,a9a,0,0.01,0.001,16,2,4096,1,1,512,1.1371765498396462,1.1371765498396462
0609T194417Z_nf9SnY,a9a,0,0.01,5.0,16,256,4096,1,1,512,2.8782595439497363,1.2658841308252544
0609T193929Z_HccP2F,a9a,3,0.01,0.001,2,2,4096,1,1,512,1.2340518945361834,1.2340518945361834
0609T193938Z_RdR1Ur,a9a,3,0.01,0.05,64,16,4096,1,1,512,0.8853938751768606,0.8853938751768606
0609T201303Z_UOXow1,a9a,3,0.01,2.0,2048,128,4096,1,1,512,0.4697449493646679,0.4697449493646679
0609T215540Z_PG1Mqu,a9a,0,0.01,0.2,2048,512,4096,1,1,512,0.3773363599263251,0.3765785131969224
0609T194138Z_OKUedH,a9a,4,0.01,0.2,1024,8,4096,1,1,512,0.3727724045866409,0.3727724045866409
0609T200205Z_28ktQ6,a9a,1,0.01,0.001,64,512,4096,1,1,512,0.8241609592130554,0.8241609592130554
0609T201401Z_IH1wJp,a9a,4,0.01,5.0,8192,2,4096,1,1,512,0.8981317178890139,0.6941949542551138
0609T193940Z_rFQiNf,a9a,3,0.01,0.1,512,4,4096,1,1,512,0.4114792986762893,0.4114792986762893
0609T193935Z_jmCDNV,a9a,3,0.01,0.2,1,8,4096,1,1,512,0.4280463218280144,0.4280463218280144
0609T201158Z_ETdywG,a9a,3,0.01,5.0,2048,32,4096,1,1,512,0.4745655005659226,0.42877688459829855
0609T194225Z_xgpvLA,a9a,1,0.01,0.2,128,32,4096,1,1,512,0.3766284364990374,0.3746425939129397
0609T194051Z_mzwsgn,a9a,4,0.01,2.0,32,4,4096,1,1,512,0.3920426955529261,0.3920426955529261
0609T194117Z_0QThgP,a9a,4,0.01,0.005,1024,256,4096,1,1,512,1.3700304743775895,1.3700304743775895
0609T201450Z_MfdVcE,a9a,4,0.01,0.1,2048,2,4096,1,1,512,0.3728084689945996,0.3727763465585041
0609T193958Z_pBtzUE,a9a,3,0.01,1.0,256,64,4096,1,1,512,0.470908719816864,0.470908719816864
0609T193944Z_QWMjF3,a9a,3,0.01,0.05,2,128,4096,1,1,512,1.26544364874643,1.26544364874643
0609T200216Z_QJhyEI,a9a,1,0.01,0.002,512,512,4096,1,1,512,0.6506815316329748,0.6506815316329748
0609T194144Z_FleuVz,a9a,4,0.01,1.0,1024,16,4096,1,1,512,0.3727676997470119,0.3727676997470119
0609T194133Z_uQzh3S,a9a,4,0.01,0.5,32,16,4096,1,1,512,0.3740942037687744,0.3740942037687744
0609T193943Z_KPHeYN,a9a,3,0.01,1.0,1,256,4096,1,1,512,0.8148460244990949,0.8148460244990949
0609T194512Z_Ee3Jyq,a9a,1,0.01,0.5,1024,1,4096,1,1,512,0.37317364982621387,0.3731525223749276
