runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0603T121841Z_hY8N8d,a9a,3,0.001,50.0,512,256,4096,1,1,512,3.816336793558243,1.1451013886529824
0602T224238Z_IWcNXF,a9a,4,0.001,0.002,1,256,4096,1,1,512,1.049118482228157,1.049118482228157
0602T204925Z_0gwS6p,a9a,1,0.001,0.01,1,2,4096,1,1,512,1.114637649147061,0.7480952853275084
0602T204741Z_XzQzMJ,a9a,2,0.001,0.2,64,8,4096,1,1,512,0.3379177364044404,0.3366172732650471
0602T204742Z_ttrHIY,a9a,3,0.001,0.02,64,512,4096,1,1,512,1.085565750914686,1.085565750914686
0602T205507Z_ARWth4,a9a,-1,0.001,2.0,1,512,4096,1,1,512,21.205474797877137,1.1451013886529824
0602T205010Z_26yNS0,a9a,2,0.001,0.02,512,64,4096,1,1,512,0.3491807329948219,0.3491807329948219
0603T131206Z_NKVbbm,a9a,-1,0.001,0.001,4096,8,4096,1,1,512,0.33352507438496004,0.33352507438496004
0602T204730Z_XO8A4N,a9a,2,0.001,10.0,2,512,4096,1,1,512,6.960204410707929,1.1451013886529824
0602T204731Z_dpM3xu,a9a,1,0.001,0.001,128,1,4096,1,1,512,0.3353139927510418,0.33514607433263865
0603T120714Z_WwIA93,a9a,0,0.001,10.0,1,32,4096,1,1,512,14.416213265644435,1.1451013886529824
0603T121537Z_oj84RL,a9a,1,0.001,0.0001,16,16,4096,1,1,512,0.4851272552856326,0.4851272552856326
0603T131206Z_ThE5hz,a9a,-1,0.001,0.1,4096,8,4096,1,1,512,0.3388992696195757,0.3374167267948537
0603T121723Z_5eevlG,a9a,3,0.001,10.0,128,4,4096,1,1,512,0.6248709393487353,0.6248709393487353
0602T204817Z_JepfWO,a9a,1,0.001,0.1,8,32,4096,1,1,512,0.3440409912134155,0.3440409912134155
0602T204819Z_9R8FTb,a9a,2,0.001,5.0,4,256,4096,1,1,512,2.777824222522711,1.1451013886529824
0602T224237Z_7b80Ea,a9a,4,0.001,5.0,256,16,4096,1,1,512,0.6528261063661911,0.5970519654612081
0602T224120Z_XLyk9k,a9a,4,0.001,1.0,512,1,4096,1,1,512,0.3377046215320136,0.3369953645688739
0602T204817Z_GG38QN,a9a,2,0.001,2.0,8,8,4096,1,1,512,1.1403940875293794,0.8056240613315356
0602T204925Z_49J5im,a9a,-1,0.001,0.005,8,128,4096,1,1,512,0.3727426961257267,0.3697308836739214
0603T121802Z_EXFutW,a9a,3,0.001,10.0,32,1,4096,1,1,512,1.0348550675758323,1.0348550675758323
0603T121420Z_ak36NL,a9a,3,0.001,20.0,256,2,4096,1,1,512,3.9954359858065467,1.1451013886529824
0602T205209Z_lZ2YXQ,a9a,0,0.001,10.0,1,4,4096,1,1,512,14.416213265644435,1.1451013886529824
0602T212815Z_27npLK,a9a,3,0.001,0.02,4096,256,4096,1,1,512,1.0377340423314616,1.0377340423314616
0602T204751Z_UvG3QR,a9a,3,0.001,0.01,256,256,4096,1,1,512,1.0856985585139691,1.0856985585139691
0602T204935Z_3u6cbY,a9a,0,0.001,0.2,32,2,4096,1,1,512,0.33865515579539074,0.33865515579539074
0603T121538Z_XSzR1y,a9a,4,0.001,0.0005,1,128,4096,1,1,512,1.0514253229872226,1.0514253229872226
0602T204732Z_E2dDl6,a9a,1,0.001,5.0,16,8,4096,1,1,512,2.3272391927144183,1.1451013886529824
0602T205503Z_9f30Nh,a9a,0,0.001,2.0,1,1,4096,1,1,512,2.2657639204056306,1.1451013886529824
0602T213436Z_ZEUjgW,a9a,0,0.001,0.01,2048,4,4096,1,1,512,0.4624234157780748,0.4624234157780748
0602T224353Z_Dij1o2,a9a,4,0.001,0.02,8192,128,4096,1,1,512,0.7810992924697401,0.7810992924697401
0602T204913Z_AtWuC2,a9a,0,0.001,1.0,16,128,4096,1,1,512,0.6208470359766503,0.5531280712707762
0602T205151Z_igOQR7,a9a,2,0.001,0.05,512,8,4096,1,1,512,0.333610654277111,0.333610654277111
